serial,serialLabel,countryLabel,composerLabel,rarsRatingLabel,derivativeWorkLabel
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Фабрицио Кастаниа,,Клуб Винкс: Волшебное приключение
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Фабрицио Кастаниа,,Судьба: Сага Винкс
http://www.wikidata.org/entity/Q73622,Футурама,США,Кристофер Тинг,18+,
http://www.wikidata.org/entity/Q53093,Время приключений,США,,,Время приключений: Дальние земли
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Питер Зиззо,,Клуб Винкс: Тайна затерянного королевства
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Питер Зиззо,,Клуб Винкс: Волшебное приключение
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Питер Зиззо,,Судьба: Сага Винкс
http://www.wikidata.org/entity/Q23818,Шоу Рики Джервэйса,Великобритания,,,
http://www.wikidata.org/entity/Q31033,Tennessee Tuxedo and His Tales,США,,,
http://www.wikidata.org/entity/Q62562,Приключения Лунтика и его друзей,Россия,,,Лунтик. Возвращение домой
http://www.wikidata.org/entity/Q5415,Дружба — это чудо,Канада,Калеб Чан,,
http://www.wikidata.org/entity/Q13923,Ужасные приключения Билли и Мэнди,США,Гай Мун,,
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Фабрицио Кастаниа,,Winx Club: The Magic Is Back
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Фабрицио Кастаниа,,Волшебные Поппикси
http://www.wikidata.org/entity/Q31822,Hip-Hip and Hurra,Польша,,,
http://www.wikidata.org/entity/Q8822,Робоцып,США,Лес Клейпул,18+,
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Фабрицио Кастаниа,,Винкс Клуб: Тайна Моской Бездны
http://www.wikidata.org/entity/Q20189,Смешарики,Россия,Марина Анатольевна Ланда,0+,Малышарики
http://www.wikidata.org/entity/Q5415,Дружба — это чудо,Канада,Дэниэл Ингрэм,,
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Фабрицио Кастаниа,,Мир Винкс
http://www.wikidata.org/entity/Q5415,Дружба — это чудо,Канада,Стеффан Эндрюс,,
http://www.wikidata.org/entity/Q11572,Аватар: Легенда об Аанге,США,Джереми Цукерман,,Аватар: Легенда об Аанге
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Giovanni Cera,,Winx Club: The Magic Is Back
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Angelo Poggi,,Волшебные Поппикси
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Giovanni Cera,,Волшебные Поппикси
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Фабрицио Кастаниа,,Клуб Винкс: Тайна затерянного королевства
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Angelo Poggi,,Винкс Клуб: Тайна Моской Бездны
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Giovanni Cera,,Винкс Клуб: Тайна Моской Бездны
http://www.wikidata.org/entity/Q45126,Dino Twins,Корея,,,
http://www.wikidata.org/entity/Q11572,Аватар: Легенда об Аанге,США,Джереми Цукерман,,Повелитель стихий
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Фабрицио Кастаниа,,Клуб Винкс: Волшебное приключение
http://www.wikidata.org/entity/Q11572,Аватар: Легенда об Аанге,США,Джереми Цукерман,,Super Deformed Shorts
http://www.wikidata.org/entity/Q19331,Почти голые животные,Канада,,,
http://www.wikidata.org/entity/Q77522,Клуб Винкс,США,Фабрицио Кастаниа,,Судьба: Сага Винкс
http://www.wikidata.org/entity/Q60342,Денис-непоседа,США,,,
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Angelo Poggi,,Мир Винкс
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Giovanni Cera,,Мир Винкс
http://www.wikidata.org/entity/Q5930,Гриффины,США,Рон Джонс,,
http://www.wikidata.org/entity/Q28787,Звёздные войны: Повстанцы,США,Кевин Кайнер,,
http://www.wikidata.org/entity/Q60342,Денис-непоседа,Канада,,,
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Angelo Poggi,,Клуб Винкс: Тайна затерянного королевства
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Giovanni Cera,,Клуб Винкс: Тайна затерянного королевства
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Питер Зиззо,,Winx Club: The Magic Is Back
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Angelo Poggi,,Клуб Винкс: Волшебное приключение
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Giovanni Cera,,Клуб Винкс: Волшебное приключение
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Питер Зиззо,,Волшебные Поппикси
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Питер Зиззо,,Винкс Клуб: Тайна Моской Бездны
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Angelo Poggi,,Судьба: Сага Винкс
http://www.wikidata.org/entity/Q77522,Клуб Винкс,Италия,Giovanni Cera,,Судьба: Сага Винкс
http://www.wikidata.org/entity/Q27120,Аладдин,США,Ховард Эшман,,
http://www.wikidata.org/entity/Q20922,Звёздный путь: Анимационный сериал,США,,,
http://www.wikidata.org/entity/Q18790,Легенда о Корре,США,Джереми Цукерман,,
http://www.wikidata.org/entity/Q5930,Гриффины,США,Уолтер Мёрфи,,
